Картинка	Юникод	Вес	Категория	Подкатегория 	id
	128514	0.5	Радостное	База	1
	129315	1.0	Радостное	База	2
	128513	0.9	Радостное	ППО	3
	129303	0.4	Радостное	ППО	4
	128522	0.7	Радостное	ППО	5
	128521	0.8	Радостное	ППО	6
	128579	0.2	Радостное	ППО	7
	128570	0.1	Радостное	ППО	8
	128540	0.9	Радостное	Максимум позитива	9
	129322	1.0	Радостное	Максимум позитива	10
	128516	0.7	Радостное	Весело	11
	127752	0.8	Радостное	Весело	12
	128578	0.6	Радостное	Легкая улбыка	13
	128569	0.5	Радостное	Легкая улбыка	14
		0.5	Грустное	База	15
		1.0	Грустное	База	16
			Грустное	ППО	17
			Грустное	ППО	18
			Грустное	ППО	19
			Грустное	ППО	20
			Грустное	ППО	21
			Грустное	ППО	22
		0.9	Грустное	Депрессия	23
		1.0	Грустное	Депрессия	24
		0.7	Грустное	Уныние	25
		0.8	Грустное	Уныние	26
		0.6	Грустное	Легкий негатив	27
		0.5	Грустное	Легкий негатив	28
		0.5	Флекс	База	29
		1.0	Флекс	База	30
			Флекс	ППО	31
			Флекс	ППО	32
			Флекс	ППО	33
			Флекс	ППО	34
			Флекс	ППО	35
			Флекс	ППО	36
		0.9	Флекс	Вечеринка	37
		1.0	Флекс	Вечеринка	38
		0.7	Флекс	Ехать на машинке	39
		0.8	Флекс	Ехать на машинке	40
		0.6	Флекс	Потрясти головой	41
		0.5	Флекс	Потрясти головой	42
		0.5	Молодежное	База	43
		1.0	Молодежное	База	44
			Молодежное	ППО	45
			Молодежное	ППО	46
			Молодежное	ППО	47
			Молодежное	ППО	48
			Молодежное	ППО	49
			Молодежное	ППО	50
		0.9	Молодежное	Витя АК	51
		1.0	Молодежное	Витя АК	52
		0.7	Молодежное	Кальянный рэп	53
		0.8	Молодежное	Кальянный рэп	54
		0.6	Молодежное	Рэп улиц	55
		0.5	Молодежное	Рэп улиц	56
		0.5	Спокойное	База	57
		1.0	Спокойное	База	58
			Спокойное	ППО	59
			Спокойное	ППО	60
			Спокойное	ППО	61
			Спокойное	ППО	62
			Спокойное	ППО	63
			Спокойное	ППО	64
		0.9	Спокойное	Шум деревьев	65
		1.0	Спокойное	Шум деревьев	66
		0.7	Спокойное	Морской бриз	67
		0.8	Спокойное	Морской бриз	68
		0.6	Спокойное	У камина	69
		0.5	Спокойное	У камина	70
		0.5	Работа/учеба	База	71
		1.0	Работа/учеба	База	72
			Работа/учеба	ППО	73
			Работа/учеба	ППО	74
			Работа/учеба	ППО	75
			Работа/учеба	ППО	76
			Работа/учеба	ППО	77
			Работа/учеба	ППО	78
		0.9	Работа/учеба	Lofi	79
		1.0	Работа/учеба	Lofi	80
		0.7	Работа/учеба	Нью-Эдж	81
		0.8	Работа/учеба	Нью-Эдж	82
		0.6	Работа/учеба	Блюз	83
		0.5	Работа/учеба	Блюз	84
		0.5	Агрессивное	База	85
		1.0	Агрессивное	База	86
			Агрессивное	ППО	87
			Агрессивное	ППО	88
			Агрессивное	ППО	89
			Агрессивное	ППО	90
			Агрессивное	ППО	91
			Агрессивное	ППО	92
		0.9	Агрессивное	Буря внутри	93
		1.0	Агрессивное	Буря внутри	94
		0.7	Агрессивное	Мотивация	95
		0.8	Агрессивное	Мотивация	96
		0.6	Агрессивное	Металл	97
		0.5	Агрессивное	Металл	98
		0.5	Романтическое	База	99
		1.0	Романтическое	База	100
			Романтическое	ППО	101
			Романтическое	ППО	102
			Романтическое	ППО	103
			Романтическое	ППО	104
			Романтическое	ППО	105
			Романтическое	ППО	106
		0.9	Романтическое	Французский вайб	107
		1.0	Романтическое	Французский вайб	108
		0.7	Романтическое	Романтичная Италия	109
		0.8	Романтическое	Романтичная Италия	110
		0.6	Романтическое	Сваты	111
		0.5	Романтическое	Сваты	112
		0.5	Ностальгия	База	113
		1.0	Ностальгия	База	114
			Ностальгия	ППО	115
			Ностальгия	ППО	116
			Ностальгия	ППО	117
			Ностальгия	ППО	118
			Ностальгия	ППО	119
			Ностальгия	ППО	120
		0.9	Ностальгия	Песни родительской молодости	121
		1.0	Ностальгия	Песни родительской молодости	122
		0.7	Ностальгия	Под это флексил дед	123
		0.8	Ностальгия	Под это флексил дед	124
		0.6	Ностальгия	Никто этого не помнит	125
		0.5	Ностальгия	Никто этого не помнит	126
		0.5	Мрачное	База	127
		1.0	Мрачное	База	128
			Мрачное	ППО	129
			Мрачное	ППО	130
			Мрачное	ППО	131
			Мрачное	ППО	132
			Мрачное	ППО	133
			Мрачное	ППО	134
		0.9	Мрачное	Эмбиент	135
		1.0	Мрачное	Эмбиент	136
		0.7	Мрачное	Пост-панк	137
		0.8	Мрачное	Пост-панк	138
		0.6	Мрачное	Вичуха	139
		0.5	Мрачное	Вичуха	140